id,country,iso3,latitude,longitude,centroid,role,displacement_type,qualifier,figure,displacement_date,displacement_start_date,displacement_end_date,year,event_id,event_name,event_codes,event_code_types,event_start_date,event_end_date,category,subcategory,type,subtype,old_id,sources,source_url,locations_name,locations_coordinates,locations_accuracy,locations_type,displacement_occurred,created_at,description,link,combined_type
247450,Somalia,SOM,2.11667,45.400002,"[2.11667, 45.400002]",Recommended figure,Disaster,total,4000,2026-04-26,2026-04-25,2026-04-26,2026,42303,Somalia: Flood - south-eastern Somalia (Banadir) - 25/04/2026,,,2026-04-25,2026-04-26,Weather related,Hydrological,Flood,Flood,,United Nations High Commissioner for Refugees (UNHCR),,"Banaadir, Mogadishu مقديشو, Banaadir, Somalia","2.11667, 45.400002",Point,Origin,Displacement without preventive evacuations reported,2026-05-11T13:09:22.796566Z,"Somalia: 4,000 displacements, 25 April - 26 April. According to reported sources, at least 4,000 people were reported displaced in Banaadir, Mogadishu, Somalia after flooding between the 25th and 26th of April 2026. ReliefWeb - 30 April 2026",,Flood
240680,Somalia,SOM,0.06968,42.74497,"[0.06968, 42.74497]",Recommended figure,Disaster,total,8,2026-02-07,2026-02-01,2026-02-07,2026,40344,Somalia: Drought - Lower Juba - 01/02/2026,,,2026-02-01,2026-02-28,Weather related,Climatological,Drought,Drought,,Protection and Return Monitoring Network (PRMN),,"Jamaame, Lower Juba, Somalia","0.06968, 42.74497",District/Zone/Department (ADM2),Origin and destination,Displacement without preventive evacuations reported,2026-02-20T16:36:08.093473Z,"Somalia: 8 displacements, 01 February - 07 February. According to Protection and Return Monitoring Network (PRMN), a total of 8 people were displaced in Somalia , arriving in the week of 01 February 2026 due to Drought. Protection and Return Monitoring Network (PRMN) - 20 February 2026",,Drought
240678,Somalia,SOM,1.0193,41.536345,"[1.0193, 41.536345]",Recommended figure,Disaster,total,183,2026-02-07,2026-02-01,2026-02-07,2026,40345,Somalia: Drought - Middle Juba - 01/02/2026,,,2026-02-01,2026-02-28,Weather related,Climatological,Drought,Drought,,Protection and Return Monitoring Network (PRMN),,"Dhobley, Lower Juba, Somalia; Saakow, Middle Juba, Somalia","0.40997, 41.00995; 1.62863, 42.06274",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Destination; Origin,Displacement without preventive evacuations reported,2026-02-20T16:36:07.980700Z,"Somalia: 183 displacements, 01 February - 07 February. According to Protection and Return Monitoring Network (PRMN), a total of 183 people were displaced in Somalia , arriving in the week of 01 February 2026 due to Drought. Protection and Return Monitoring Network (PRMN) - 20 February 2026",,Drought
240679,Somalia,SOM,-0.14424499999999998,42.645165000000006,"[-0.14424499999999998, 42.645165000000006]",Recommended figure,Disaster,total,35,2026-02-07,2026-02-01,2026-02-07,2026,40344,Somalia: Drought - Lower Juba - 01/02/2026,,,2026-02-01,2026-02-28,Weather related,Climatological,Drought,Drought,,Protection and Return Monitoring Network (PRMN),,"Jamaame, Lower Juba, Somalia; Kismayo, Lower Juba, Somalia","0.06968, 42.74497; -0.35817, 42.54536",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Origin; Destination,Displacement without preventive evacuations reported,2026-02-20T16:36:08.037533Z,"Somalia: 35 displacements, 01 February - 07 February. According to Protection and Return Monitoring Network (PRMN), a total of 35 people were displaced in Somalia , arriving in the week of 01 February 2026 due to Drought. Protection and Return Monitoring Network (PRMN) - 20 February 2026",,Drought
240673,Somalia,SOM,4.431395,43.952275,"[4.431395, 43.952275]",Recommended figure,Disaster,total,17,2026-02-07,2026-02-01,2026-02-07,2026,40342,Somalia: Drought - Bakool - 01/02/2026,,,2026-02-01,2026-02-28,Weather related,Climatological,Drought,Drought,,Protection and Return Monitoring Network (PRMN),,"Ceel Barde, Bakool, Somalia; Xudur, Bakool, Somalia","4.67388, 43.99833; 4.18891, 43.90622",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Origin; Destination,Displacement without preventive evacuations reported,2026-02-20T16:34:12.711727Z,"Somalia: 17 displacements, 01 February - 07 February. According to Protection and Return Monitoring Network (PRMN), a total of 17 people were displaced in Somalia , arriving in the week of 01 February 2026 due to Drought. Protection and Return Monitoring Network (PRMN) - 20 February 2026",,Drought
240683,Somalia,SOM,2.12264,45.27402,"[2.12264, 45.27402]",Recommended figure,Conflict,total,22,2026-02-07,2026-02-01,2026-02-07,2026,40324,Somalia: Unclear/Unknown - Lower Shabelle - 01/02/2026,,,2026-02-01,2026-02-28,,,,,,Protection and Return Monitoring Network (PRMN),,"Afgooye, Lower Shabeelle, Somalia; Banadir, Banaadir, Somalia","2.1381, 45.1212; 2.10718, 45.42684",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Origin; Destination,Displacement without preventive evacuations reported,2026-02-20T16:36:08.277044Z,"Somalia: 22 displacements, 01 February - 07 February. According to Protection and Return Monitoring Network (PRMN), a total of 22 people were displaced in Somalia , arriving in the week of 01 February 2026 due to Conflict. Protection and Return Monitoring Network (PRMN) - 20 February 2026",,Conflict
240674,Somalia,SOM,4.18891,43.90622,"[4.18891, 43.90622]",Recommended figure,Disaster,total,8,2026-02-07,2026-02-01,2026-02-07,2026,40342,Somalia: Drought - Bakool - 01/02/2026,,,2026-02-01,2026-02-28,Weather related,Climatological,Drought,Drought,,Protection and Return Monitoring Network (PRMN),,"Xudur, Bakool, Somalia","4.18891, 43.90622",District/Zone/Department (ADM2),Origin and destination,Displacement without preventive evacuations reported,2026-02-20T16:36:07.756314Z,"Somalia: 8 displacements, 01 February - 07 February. According to Protection and Return Monitoring Network (PRMN), a total of 8 people were displaced in Somalia , arriving in the week of 01 February 2026 due to Drought. Protection and Return Monitoring Network (PRMN) - 20 February 2026",,Drought
240675,Somalia,SOM,0.803975,41.875375000000005,"[0.803975, 41.875375000000005]",Recommended figure,Disaster,total,10,2026-02-07,2026-02-01,2026-02-07,2026,40345,Somalia: Drought - Middle Juba - 01/02/2026,,,2026-02-01,2026-02-28,Weather related,Climatological,Drought,Drought,,Protection and Return Monitoring Network (PRMN),,"Bu'aale, Middle Juba, Somalia; Dhobley, Lower Juba, Somalia","1.19798, 42.7408; 0.40997, 41.00995",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Origin; Destination,Displacement without preventive evacuations reported,2026-02-20T16:36:07.822610Z,"Somalia: 10 displacements, 01 February - 07 February. According to Protection and Return Monitoring Network (PRMN), a total of 10 people were displaced in Somalia , arriving in the week of 01 February 2026 due to Drought. Protection and Return Monitoring Network (PRMN) - 20 February 2026",,Drought
240676,Somalia,SOM,0.5909,41.78618,"[0.5909, 41.78618]",Recommended figure,Disaster,total,14,2026-02-07,2026-02-01,2026-02-07,2026,40344,Somalia: Drought - Lower Juba - 01/02/2026,,,2026-02-01,2026-02-28,Weather related,Climatological,Drought,Drought,,Protection and Return Monitoring Network (PRMN),,"Afmadow, Lower Juba, Somalia","0.5909, 41.78618",District/Zone/Department (ADM2),Origin and destination,Displacement without preventive evacuations reported,2026-02-20T16:36:07.873723Z,"Somalia: 14 displacements, 01 February - 07 February. According to Protection and Return Monitoring Network (PRMN), a total of 14 people were displaced in Somalia , arriving in the week of 01 February 2026 due to Drought. Protection and Return Monitoring Network (PRMN) - 20 February 2026",,Drought
240677,Somalia,SOM,0.63523,42.304050000000004,"[0.63523, 42.304050000000004]",Recommended figure,Disaster,total,9,2026-02-07,2026-02-01,2026-02-07,2026,40345,Somalia: Drought - Middle Juba - 01/02/2026,,,2026-02-01,2026-02-28,Weather related,Climatological,Drought,Drought,,Protection and Return Monitoring Network (PRMN),,"Kismayo, Lower Juba, Somalia; Saakow, Middle Juba, Somalia","-0.35817, 42.54536; 1.62863, 42.06274",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Destination; Origin,Displacement without preventive evacuations reported,2026-02-20T16:36:07.927147Z,"Somalia: 9 displacements, 01 February - 07 February. According to Protection and Return Monitoring Network (PRMN), a total of 9 people were displaced in Somalia , arriving in the week of 01 February 2026 due to Drought. Protection and Return Monitoring Network (PRMN) - 20 February 2026",,Drought
